Mouse ID,Location,Infected,Strain,Block,% T cells of CD45+,% CD4+ of CD45+,% CD4+/Q1 CD62L- / CD44+ eff mem of CD45+,% CD4+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD4+/Q3 CD62L+ / CD44- naive of CD45+,% CD4+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ activated CD4 of CD45+,% KLRG1+ CD4+ of CD45+,% FoxP3+ CD4+ of CD45+,% Gata3+ CD4+ of CD45+,% Tbet+ CD4+ of CD45+,% RorgT+ CD4+ of CD45+,% CD8+ of CD45+,% Q1 CD62L-  CD44+ eff mem of CD45+,% CD8+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD8+/Q3 CD62L+ / CD44- naive of CD45+,% CD8+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ CD8+ of CD45+,% KLRG1+ CD8+ of CD45+,% B220+ cells of CD45+,% CD44+ B cells of CD45+,% CD62L+ Bcells of CD45+,% CD62hiCD44+ B cells of CD45+,% CD62hiCD44- B cells of CD45+,% gd T cells of CD45+,% NK cells of CD45+,% lin- of CD45+,% Ki67+ ILCs of CD45+
420,Lab,Infected,B6,Block1,46.6,24.5,1.98,2.28,19.8,0.46,2.12,0.234,2.74,0.449,0.527,0.272,21.3,0.22,3.37,17.4,0.246,1.52,0.041,49.9,5.56,47.8,3.96,44.1,1.31,0.589,1.26,0.228
477,Lab,Infected,B6,Block1,66.5,38.2,3.85,1.77,29.9,2.62,1.82,0.294,4.18,0.513,0.332,0.814,27.6,0.543,3.4,21.5,2.1,1.65,0.0377,30.6,2.84,13.3,0.746,12.6,1.5,0.286,0.92,0.121
470,Lab,Infected,PWK,Block1,78.5,50.9,2.04,4.25,43.3,1.31,1.22,1.14,4.45,0.187,0.308,0.446,27.3,0.469,14.7,11.7,0.365,1.18,0.0531,19.5,0.669,11.2,0.197,11,0.771,0.00212,0.892,0.132
435,Lab,UnInfected,129SL,Block1,66.6,48.8,3.43,1.23,40.5,3.67,1.41,0.197,4.59,0.49,0.0664,0.338,17.3,0.266,0.312,15,1.72,0.446,0.0403,31.1,2.68,21.9,1.09,20.9,0.696,0.00424,0.891,0.15
445,Lab,UnInfected,129SL,Block1,67.9,48.4,3.91,1.95,38.1,4.37,2.1,0.119,5.57,0.483,0.06,0.369,19.2,0.164,0.425,17,1.54,0.528,0.0106,29.6,2.77,19.1,1.13,18,0.658,0.00196,0.954,0.147
478,Lab,UnInfected,129SL,Block1,65.3,46.1,3.57,1.55,37.2,3.74,2.45,0.15,4.55,0.504,0.0567,0.466,18.7,0.207,0.408,16.3,1.78,0.6,0.0273,32.2,3.77,22.8,1.71,21.2,0.826,0.000717273,0.865,0.26
403,Lab,UnInfected,B6,Block1,50.6,30.1,2.64,0.597,5.95,20.9,1.15,0.479,2.12,0.317,0.142,0.341,19.9,2.24,0.239,0.391,17.1,0.947,0.0809,45.8,3.77,14.8,0.563,14.3,1.2,0.152,0.961,0.212
405,Lab,UnInfected,B6,Block1,65.3,36.4,4.72,1.2,14.1,16.4,1.62,0.355,4.85,0.547,0.19,0.575,28.2,3.61,0.936,2.2,21.5,1.41,0.102,31.5,4.07,7.15,0.577,6.61,1.23,0.349,1.07,0.2
410,Lab,UnInfected,B6,Block1,66.2,36.5,3.97,3.4,27.7,1.4,1.86,0.282,5.16,0.526,0.192,0.772,29.2,0.363,3.69,23.8,1.3,1.44,0.0742,31.2,3.23,27.4,1.79,25.7,1.23,0.381,0.79,0.128
417,Lab,UnInfected,B6,Block1,65.2,36.5,2.45,2.1,30.6,1.36,1.42,0.131,4.42,0.333,0.0834,0.429,28.3,0.365,2.91,23.9,1.14,1.42,0.031,32.4,2.6,26.2,1.23,25.1,1.39,0.224,0.588,0.113
454,Lab,UnInfected,PWK,Block1,73.5,47.8,2.91,6.27,35.5,3.13,1.37,2.75,4.62,0.0991,0.972,0.378,25.3,1.26,16,7.24,0.815,0.974,0.0789,24.8,1.04,8.72,0.167,8.56,0.728,0.00183,0.672,0.119
456,Lab,UnInfected,PWK,Block1,78.9,52.1,5.36,4.77,29.1,12.9,1.79,1.92,4.86,0.158,0.452,0.614,26.4,6.67,11.6,5.42,2.71,1.22,0.0972,18.9,0.623,1.79,0.0648,1.72,0.989,0.00572,0.701,0.111
461,Lab,UnInfected,PWK,Block1,83.3,52.9,3.8,9.88,36.8,2.35,1.56,1.91,4.63,0.134,0.696,0.514,30,1.41,19.5,8.58,0.587,1.33,0.0545,15,0.872,9.85,0.289,9.58,0.692,0.00419,0.677,0.103
468,Lab,UnInfected,PWK,Block1,75.5,51.6,7.66,3.43,16.4,24.1,1.12,1.89,5.2,0.177,0.534,0.368,23.7,12.6,2.79,1.83,6.4,0.909,0.105,22.1,1.02,0.216,0.0636,0.152,0.902,0.00227,0.986,0.132
425,SF,Infected,129SL,Block1,55,41,5.26,2.72,31,2.01,3.96,0.222,3.22,0.535,0.428,0.0905,13.3,0.494,0.749,10.9,1.15,0.757,0.0658,39.6,6.1,32.6,2.57,30.1,1.36,0,3.3,1.65
429,SF,Infected,129SL,Block1,53.4,38,4.39,2.47,28.8,2.28,3.42,0.184,3.71,0.496,0.217,0.225,14.9,0.509,0.768,12.5,1.13,1.18,0.0615,41.9,6.07,34.9,2.96,32,1.11,0.00131,2.99,1.54
437,SF,Infected,129SL,Block1,54.9,38.8,4.58,2.98,29.2,2.06,4.18,0.317,3.06,0.939,0.195,0.259,15.7,0.268,0.58,13.9,0.945,0.651,0.0374,40.6,6.47,30.6,2.65,28.1,0.987,0.00108,2.95,1.63
448,SF,Infected,129SL,Block1,62,45.6,6.59,2.41,30.3,6.31,3.31,0.209,4.89,1.01,0.103,0.489,16,0.395,0.416,10.9,4.24,0.639,0.00709,34.9,3.26,14.9,0.6,14.3,1.06,0.00177,1.57,0.526
476,SF,Infected,129SL,Block1,43.4,30.1,4.37,3.04,20.5,2.18,5.1,0.194,2.85,0.583,0.741,0.253,12.9,0.417,0.822,10.8,0.835,0.932,0.055,50,7.3,42.2,3.5,38.8,1.44,0.00211,4.63,2.52
406,SF,Infected,B6,Block1,50.5,26.4,2.96,1.92,20.2,1.28,3.23,0.464,3.03,0.755,1.09,0.45,23,0.57,3.91,17.7,0.863,3.92,0.0448,44.9,6.14,36.4,3.84,32.7,1.73,0.544,1.97,0.66
