Wedge,Timestamp,RFID,Mouse
30,8/19/21 1:36,48 48 48 48 55 50 56 57 55,103
12,8/19/21 1:35,48 48 48 49 51 48 51 50 56,289
70,8/19/21 1:34,48 48 48 49 51 48 51 57 50,298
70,8/19/21 1:31,48 48 48 49 51 48 51 57 50,298
10,8/19/21 1:31,48 48 48 49 51 48 50 50 57,300
14,8/19/21 1:31,48 48 48 49 51 48 50 57 50,291
10,8/19/21 1:31,48 48 48 49 51 48 50 50 57,300
70,8/19/21 1:28,48 48 48 49 51 48 50 57 48,274
10,8/19/21 1:28,48 48 48 49 51 48 50 50 57,300
70,8/19/21 1:27,48 48 48 49 51 48 50 51 55,287
70,8/19/21 1:14,48 48 48 49 51 48 51 54 54,294
14,8/19/21 1:13,48 48 48 49 51 48 50 53 54,277
14,8/19/21 1:12,48 48 48 49 51 48 50 53 54,277
70,8/19/21 1:12,48 48 48 49 51 48 50 51 55,287
71,8/19/21 1:09,48 48 48 48 55 50 56 56 48,311
71,8/19/21 1:05,48 48 48 48 55 50 56 56 48,311
3,8/19/21 1:03,48 48 48 48 55 50 56 56 48,311
70,8/19/21 1:01,48 48 48 49 51 48 51 57 50,298
70,8/19/21 0:57,48 48 48 49 51 48 51 57 50,298
70,8/19/21 0:56,48 48 48 49 51 48 50 53 54,277
13,8/19/21 0:55,48 48 48 48 55 50 56 56 48,311
13,8/19/21 0:54,48 48 48 48 55 50 56 56 48,311
70,8/19/21 0:52,48 48 48 49 51 48 50 53 54,277
70,8/19/21 0:51,48 48 48 49 51 48 50 53 54,277
70,8/19/21 0:44,48 48 48 49 51 48 50 50 57,300
70,8/19/21 0:43,48 48 48 49 51 48 50 53 54,277
70,8/19/21 0:42,48 48 48 49 51 48 51 50 56,289
70,8/19/21 0:42,48 48 48 49 51 48 51 52 49,280
70,8/19/21 0:42,48 48 48 49 51 48 50 54 49,297
70,8/19/21 0:41,48 48 48 49 51 48 51 54 54,294
70,8/19/21 0:30,48 48 48 49 51 48 51 50 56,289
70,8/19/21 0:29,48 48 48 49 51 48 50 53 50,283
